date,channel,product,region,orders,revenue,customers,conversion_rate
2025-08-28,Social,Sprockets,West,87,13369.6,65,0.0389
2025-03-03,Direct,Sprockets,East,28,1245.26,19,0.0447
2025-06-02,Organic,Gizmos,West,155,21844.18,96,0.047
2025-08-03,Organic,Widgets,East,103,8788.62,58,0.057
2025-09-21,Direct,Gadgets,West,27,3273.73,15,0.0591
2025-01-28,Direct,Gadgets,North,29,2223.57,17,0.0668
2025-10-09,Social,Gizmos,East,81,11486.52,50,0.0352
2025-11-18,Paid Search,Sprockets,North,136,18172.68,101,0.0715
2025-05-22,Social,Gizmos,North,76,6689.76,45,0.0343
2025-06-28,Organic,Sprockets,West,105,11952.61,75,0.0388
2025-08-17,Paid Search,Sprockets,West,49,2972.7,38,0.0573
2025-07-18,Paid Search,Gadgets,South,94,9463.17,61,0.06
2025-10-13,Social,Gizmos,West,63,8971.13,50,0.0307
2025-06-15,Email,Sprockets,West,31,2356.04,19,0.0534
2025-03-23,Paid Search,Gadgets,East,37,2952.73,27,0.0543
2025-10-22,Social,Widgets,North,72,5082.57,40,0.0386
2025-07-25,Social,Gizmos,South,58,4328.99,35,0.0374
2025-10-13,Email,Widgets,North,67,4697.95,46,0.0499
2025-12-16,Organic,Sprockets,West,200,20866.16,137,0.0403
2025-09-07,Direct,Gadgets,North,26,2193.04,18,0.0758
2025-04-15,Email,Widgets,South,43,2047.16,32,0.0501
2025-06-12,Social,Widgets,North,64,7002.2,48,0.0178
2025-03-07,Paid Search,Gadgets,South,95,4361.13,53,0.061
2025-02-10,Paid Search,Widgets,East,99,9199.9,70,0.03
2025-11-19,Paid Search,Widgets,North,84,,56,0.0599
2025-11-29,Direct,Widgets,East,33,3594.91,19,0.0504
2025-12-07,Email,Sprockets,South,52,8412.14,31,0.0771
2025-07-22,Paid Search,Gadgets,West,93,6138.96,57,0.0628
2025-07-13,Social,Gadgets,North,50,5872.34,34,0.0346
2025-06-09,Email,Gadgets,North,39,3923.28,28,0.0515
2025-01-30,Direct,Sprockets,South,29,2343.85,19,0.0657
2025-05-04,Social,Widgets,West,40,5645.18,26,0.0381
2025-03-05,Direct,Gizmos,West,34,3930.35,21,0.0331
2025-08-28,Direct,Gadgets,South,46,5441.66,31,0.0517
2025-01-10,Email,Gadgets,South,32,3121.74,25,0.0637
2025-07-14,Email,Gadgets,North,52,4548.18,33,0.0305
2025-02-11,Direct,Sprockets,West,31,1704.79,17,0.0417
2025-01-16,Paid Search,Gizmos,South,65,5629.5,39,0.0424
2025-12-12,Organic,Sprockets,South,158,12450.42,123,0.0327
2025-06-23,Direct,Widgets,West,40,3867.58,30,0.0569
2025-06-02,Paid Search,Widgets,North,72,6979.67,53,0.0676
2025-05-16,Social,Gizmos,West,50,2695.91,30,0.0348
2025-12-02,Social,Widgets,North,58,4039.55,40,0.0455
2025-10-02,Email,Gizmos,East,58,8126.13,35,0.0768
2025-05-21,Email,Widgets,South,56,4268.08,37,0.0628
2025-03-31,Email,Widgets,West,33,4206.4,19,0.0472
2025-04-25,Paid Search,Sprockets,North,81,8832.15,48,0.0502
2025-07-22,Social,Sprockets,North,82,5142.34,54,0.0408
2025-02-12,Paid Search,Widgets,North,69,2987.18,49,0.0508
2025-06-07,Social,Gizmos,South,46,5969.94,35,0.0383
2025-01-29,Email,Sprockets,West,49,2460.48,27,0.0647
2025-12-26,Social,Gadgets,East,70,6305.33,44,0.0346
2025-06-30,Email,Sprockets,North,46,2590.64,32,0.0305
2025-12-02,Paid Search,Gizmos,North,145,15871.57,114,0.0715
2025-05-05,Paid Search,Gizmos,South,71,8976.32,54,0.029
2025-07-07,Email,Widgets,West,54,3394.66,34,0.048
2025-08-07,Paid Search,Gizmos,North,105,7876.75,83,0.0519
2025-09-19,Paid Search,Sprockets,North,91,7763.17,59,0.0419
2025-09-22,Direct,Gizmos,East,41,5262.86,24,0.0698
2025-11-08,Email,Gadgets,South,44,2698.43,29,0.0498
2025-09-09,Organic,Gizmos,West,115,11624.83,85,0.0462
2025-03-03,Organic,Widgets,West,96,10779.15,69,0.0308
2025-06-05,Organic,Sprockets,South,100,,67,0.0438
2025-05-17,Email,Gadgets,East,36,3275.13,25,0.0534
2025-06-18,Organic,Sprockets,West,148,11151.2,97,0.0731
2025-03-26,Direct,Widgets,South,30,1491.24,20,0.049
2025-10-02,Organic,Gadgets,West,154,15706.62,117,0.0323
2025-10-04,Paid Search,Gizmos,East,68,10156.31,39,0.0517
2025-01-05,Paid Search,Sprockets,South,47,4434.65,31,0.0441
2025-02-12,Social,Widgets,West,36,4402.71,20,0.042
2025-10-12,Direct,Gadgets,North,29,2125.18,20,0.0357
2025-07-12,Direct,Widgets,East,27,3148.4,20,0.0441
2025-10-29,Direct,Gadgets,South,30,3575.26,16,0.0601
2025-10-15,Email,Sprockets,West,61,10229.94,47,0.0579
2025-09-24,Email,Sprockets,North,52,3920.64,37,0.0712
2025-06-03,Paid Search,Gizmos,South,77,10395.5,50,0.089
2025-06-27,Paid Search,Gizmos,North,98,7854.17,58,0.0568
2025-01-12,Email,Gizmos,North,29,1963.26,16,0.0762
2025-10-01,Social,Gizmos,South,83,11964.57,50,0.0334
2025-09-22,Email,Gadgets,North,64,5305.66,40,0.0695
2025-12-21,Organic,Sprockets,South,105,16133.71,76,0.0413
2025-05-10,Direct,Gizmos,West,28,4012.5,20,0.0328
2025-08-25,Paid Search,Gizmos,North,103,6603.8,57,0.0324
2025-10-15,Paid Search,Sprockets,South,99,13395.18,68,0.039
2025-07-11,Social,Gadgets,East,57,5092.49,35,0.0434
2025-04-10,Paid Search,Gadgets,North,84,9099.37,60,0.0495
2025-08-17,Direct,Sprockets,West,30,3908.03,20,0.0454
2025-07-02,Paid Search,Gizmos,South,70,9826.77,39,0.0663
2025-02-06,Social,Sprockets,West,41,3196.29,23,0.0389
2025-07-04,Organic,Gadgets,South,98,5840.53,70,0.0359
2025-03-30,Social,Widgets,West,43,4772.33,28,0.031
2025-10-07,Email,Widgets,West,53,8512.3,36,0.0634
2025-11-02,Social,Widgets,South,45,5082.26,30,0.032
2025-04-14,Organic,Widgets,East,111,15370.54,86,0.0354
2025-06-03,Direct,Gizmos,West,38,4262.6,29,0.0361
2025-04-23,Paid Search,Gadgets,South,77,5552.57,53,0.0311
2025-08-16,Email,Gadgets,East,39,6194.45,23,0.0859
2025-12-01,Direct,Widgets,North,61,7469.31,36,0.0432
2025-09-09,Direct,Sprockets,North,39,3116.39,24,0.0419
2025-05-08,Direct,Widgets,East,32,1674.51,25,0.0749
2025-07-06,Direct,Gadgets,North,32,2037.17,20,0.058
2025-07-22,Email,Gadgets,North,56,5632.34,39,0.0673
2025-03-30,Organic,Gadgets,South,74,4074.35,42,0.0427
2025-04-16,Direct,Sprockets,East,32,3565.69,22,0.0496
2025-11-03,Paid Search,Gizmos,West,78,5340.76,56,0.056
2025-12-29,Direct,Gadgets,South,38,2865.61,23,0.0362
2025-12-31,Paid Search,Sprockets,South,121,9218.98,73,0.0512
2025-10-11,Email,Gizmos,North,39,6146.6,28,0.0611
2025-02-27,Paid Search,Widgets,East,73,5165.64,57,0.0606
2025-08-16,Social,Sprockets,West,38,3691.82,24,0.0279
2025-12-27,Organic,Gizmos,North,109,14035.92,74,0.0312
2025-05-11,Organic,Widgets,West,92,12513.24,63,0.0468
2025-05-28,Organic,Widgets,West,98,8800.71,55,0.0392
2025-01-11,Social,Sprockets,East,34,2231.84,22,0.0222
2025-12-21,Social,Gizmos,North,42,100399.25,32,0.0427
2025-08-29,Direct,Sprockets,East,48,6755.12,28,0.0601
2025-07-17,Paid Search,Widgets,North,112,13731.73,83,0.0334
2025-06-05,Direct,Gadgets,West,39,2699.1,28,0.0469
2025-11-22,Social,Widgets,West,45,4904.5,29,0.0337
2025-04-21,Paid Search,Sprockets,East,94,5666.17,61,0.0656
2025-04-22,Organic,Widgets,East,100,11696.4,71,0.0425
2025-09-12,Email,Gizmos,South,56,7973.4,43,0.0677
2025-02-24,Email,Gadgets,East,32,3207.79,24,0.0617
2025-04-26,Paid Search,Widgets,North,73,8201.96,50,0.0393
2025-09-13,Organic,Gadgets,North,118,11419.6,67,0.0468
2025-10-07,Organic,Gizmos,South,204,30050.62,145,0.0408
2025-03-11,Social,Gizmos,North,38,2529.02,21,0.0297
2025-07-11,Email,Gizmos,East,58,4274.24,32,0.06
2025-04-04,Organic,Gadgets,South,136,14222.81,79,0.0422
2025-03-24,Email,Gizmos,South,58,7316.76,37,0.0813
2025-09-26,Social,Sprockets,South,85,8046.12,52,0.0291
2025-10-20,Direct,Widgets,North,36,3578.83,20,0.0456
2025-07-06,Email,Gizmos,East,37,3538.45,21,0.0529
2025-01-23,Paid Search,Gizmos,South,74,3934.13,52,0.041
2025-07-14,Organic,Gadgets,South,107,6022.83,65,0.0424
2025-08-23,Social,Gizmos,East,62,3546.69,44,0.0424
2025-06-04,Paid Search,Widgets,West,90,8503.5,70,0.0328
2025-01-03,Paid Search,Widgets,West,73,6641.51,41,0.0645
2025-07-07,Paid Search,Sprockets,East,96,8825.28,62,0.0473
2025-06-16,Organic,Gizmos,West,138,16728.68,86,0.0539
2025-02-11,Paid Search,Widgets,North,48,5488.12,36,0.0483
2025-04-12,Direct,Widgets,West,21,1851.72,16,0.0603
2025-06-29,Organic,Gadgets,South,103,5535.95,65,0.0404
2025-08-29,Organic,Gizmos,East,158,19944.38,106,0.0468
2025-12-30,Direct,Gizmos,South,34,6432.7,27,0.0692
2025-02-22,Organic,Gadgets,West,87,5038.5,59,0.0517
2025-01-06,Direct,Gadgets,East,31,2917.32,17,0.0527
2025-09-22,Paid Search,Sprockets,North,124,10674.55,82,0.0573
2025-04-03,Social,Gizmos,West,71,8190.92,53,0.0539
2025-09-02,Direct,Gadgets,South,32,3401.68,21,0.0586
2025-05-21,Social,Widgets,West,57,5510.89,41,0.0332
2025-04-03,Direct,Gizmos,West,33,1528.82,21,0.0483
2025-03-20,Organic,Widgets,North,95,11474.28,59,0.0489
2025-08-21,Paid Search,Gizmos,South,98,7296.43,63,0.0638
2025-11-14,Direct,Gadgets,West,43,5220.2,31,0.0387
2025-05-29,Organic,Sprockets,South,116,10743.76,91,0.0466
2025-04-28,Organic,Sprockets,West,133,13680.3,83,0.0392
2025-05-12,Social,Sprockets,East,52,7243.07,38,0.0287
2025-05-23,Email,Gizmos,West,53,3854.19,33,0.0325
2025-01-08,Social,Widgets,North,48,5265.41,28,0.0345
2025-10-12,Organic,Widgets,East,138,18473.67,78,0.0536
2025-03-24,Paid Search,Widgets,North,73,3981.17,55,0.0433
2025-10-02,Social,Gizmos,West,86,14228.76,60,0.0358
2025-05-14,Email,Gadgets,West,65,5573.25,42,0.0711
2025-08-15,Organic,Gadgets,South,111,13307.62,84,0.0586
2025-07-09,Paid Search,Widgets,West,92,8921.34,62,0.0461
2025-03-18,Email,Sprockets,South,41,4576.76,29,0.0804
2025-11-06,Email,Gadgets,North,72,7150.43,49,0.0452
2025-03-08,Direct,Widgets,East,16,1765.3,12,0.0438
2025-12-19,Direct,Gadgets,East,49,5105.18,31,0.0392
2025-12-13,Social,Widgets,North,49,3202.02,30,0.0422
2025-03-22,Organic,Sprockets,West,74,3985.18,50,0.04
2025-11-02,Direct,Sprockets,West,34,5071.19,26,0.0477
2025-03-02,Direct,Widgets,North,19,2211.91,14,0.0555
2025-01-12,Social,Gadgets,South,30,2645.73,17,0.0286
2025-03-26,Social,Gadgets,North,46,3263.56,33,0.0367
2025-08-26,Paid Search,Sprockets,West,83,8377.34,64,0.0345
2025-01-17,Direct,Widgets,East,27,3090.03,17,0.0354
2025-12-30,Paid Search,Sprockets,East,91,7505.04,53,0.0384
2025-10-08,Organic,Widgets,North,134,22774.26,86,0.0451
2025-09-16,Paid Search,Gadgets,North,91,5604.37,51,
2025-10-19,Social,Gadgets,South,61,9962.75,38,0.0438
2025-05-12,Direct,Gadgets,East,37,2588.97,22,0.07
2025-04-01,Social,Widgets,North,59,7885.18,46,0.0453
2025-04-03,Paid Search,Sprockets,North,44,3931.35,33,0.0102
2025-11-07,Paid Search,Widgets,East,111,11227.91,71,0.0544
2025-05-13,Email,Widgets,East,46,3117.33,27,0.0521
2025-12-09,Email,Sprockets,North,44,4121.32,27,0.0842
2025-04-17,Direct,Sprockets,West,36,4511.31,22,0.0572
2025-11-29,Paid Search,Widgets,North,78,5381.07,51,0.0535
2025-12-28,Direct,Gadgets,West,26,3070.31,19,0.045
2025-05-06,Social,Gizmos,East,65,4164.14,43,0.0455
2025-01-07,Social,Widgets,West,64,5516.77,45,0.0437
2025-02-13,Social,Gizmos,West,43,4463.11,25,0.0331
2025-04-15,Organic,Gadgets,South,124,12632.14,77,0.0462
2025-07-08,Social,Widgets,West,56,5753.25,42,0.041
2025-05-04,Organic,Sprockets,East,89,7483.27,56,0.0448
2025-07-03,Organic,Widgets,North,100,12859.47,66,0.0364
2025-04-27,Organic,Widgets,West,68,4034.26,39,0.0225
2025-08-09,Social,Widgets,North,48,6416.57,27,
2025-03-15,Organic,Gadgets,North,90,9046.14,50,0.0288
2025-12-20,Direct,Widgets,North,38,4387.33,22,0.0361
2025-04-16,Paid Search,Gadgets,North,78,10980.76,45,0.0512
2025-10-05,Social,Widgets,West,70,11945.07,46,0.0333
2025-10-16,Organic,Widgets,East,138,346744.25,79,0.0338
2025-07-01,Paid Search,Gizmos,North,75,11143.62,58,0.0669
2025-06-10,Paid Search,Gizmos,South,85,10747.06,66,0.0476
2025-08-25,Organic,Widgets,South,135,14273.54,85,0.0396
2025-08-27,Organic,Widgets,South,137,17800.87,96,
2025-07-28,Email,Gizmos,East,54,7948.03,36,0.0501
2025-10-17,Social,Gadgets,South,79,10714.96,56,0.0393
2025-01-10,Paid Search,Gizmos,East,74,4822.95,48,0.0528
2025-02-14,Paid Search,Gadgets,North,62,6443.31,34,0.0524
2025-09-18,Organic,Gadgets,East,166,22466.61,110,0.0547
2025-12-31,Email,Gadgets,East,54,5121.63,34,0.0761
2025-11-18,Paid Search,Sprockets,North,136,18172.68,101,0.0715
2025-02-08,Organic,Widgets,East,81,6090.87,63,0.0344
2025-02-15,Paid Search,Sprockets,North,50,2664.16,32,0.0774
2025-05-07,Organic,Gizmos,North,143,8844.91,97,0.0291
2025-04-19,Email,Gadgets,East,33,1664.97,21,0.0554
2025-09-23,Social,Gizmos,North,87,14683.96,56,0.0347
2025-09-24,Direct,Widgets,East,36,2739.4,28,0.0488
2025-10-04,Social,Widgets,North,64,7018.44,39,0.0471
2025-06-22,Social,Sprockets,West,48,5338.65,29,0.0374
2025-08-06,Direct,Sprockets,South,45,6142.31,25,0.0658
2025-05-03,Social,Widgets,West,53,6338.28,36,0.0343
2025-12-07,Social,Widgets,East,61,4494.17,46,0.0341
2025-11-13,Email,Gizmos,West,60,4593.49,45,0.0322
2025-04-06,Organic,Gadgets,West,92,8092.27,70,0.0513
2025-01-09,Social,Gizmos,North,49,3826.34,28,0.0264
2025-10-18,Paid Search,Gadgets,West,68,5087.1,39,0.0456
2025-12-18,Paid Search,Gizmos,East,98,14142.89,60,0.0631
2025-12-02,Email,Gizmos,North,69,6850.04,50,0.0669
2025-06-17,Direct,Sprockets,South,30,1758.26,21,0.0426
2025-07-21,Direct,Widgets,West,40,4679.69,29,0.0419
2025-01-20,Email,Sprockets,North,43,4184.33,26,0.0597
2025-12-12,Social,Widgets,East,87,11599.17,48,0.0346
2025-08-19,Email,Gizmos,East,58,7242.41,44,0.0467
2025-11-04,Direct,Gadgets,West,32,5206.87,23,0.0579
2025-12-30,Social,Widgets,North,73,8140.33,50,0.0247
2025-09-25,Social,Widgets,West,53,4412.87,29,0.0181
2025-03-14,Direct,Gadgets,North,26,1275.16,18,0.0501
2025-02-14,Organic,Gadgets,East,102,11253.19,81,0.0385
2025-11-02,Paid Search,Widgets,West,78,7378.72,51,0.0653
2025-11-25,Organic,Gizmos,North,159,9878.09,96,0.0377
2025-10-14,Social,Widgets,North,78,12527.54,44,0.0489
2025-11-28,Social,Gizmos,North,100,10007.2,62,0.0265
2025-07-08,Email,Widgets,West,47,4121.36,32,0.0618
2025-11-25,Email,Gizmos,East,53,5406.21,32,0.0635
2025-08-02,Social,Widgets,South,62,7244.16,42,0.0201
2025-04-28,Email,Sprockets,East,39,3343.46,26,0.0596
2025-06-27,Organic,Gizmos,East,119,8065.04,66,0.0554
2025-11-28,Organic,Gadgets,South,173,26867.28,102,0.0522
2025-04-10,Direct,Sprockets,East,36,2355.86,25,0.053
2025-12-30,Organic,Gizmos,South,173,14144.27,103,0.0374
2025-03-02,Paid Search,Sprockets,South,42,5491.92,31,0.0478
2025-09-09,Email,Gizmos,South,51,4454.8,35,0.0772
2025-03-26,Paid Search,Gadgets,East,79,4774.71,51,0.0542
2025-07-30,Paid Search,Widgets,South,88,10529.77,69,0.0443
2025-02-28,Direct,Gadgets,West,40,4051.31,26,0.0403
2025-01-01,Direct,Sprockets,South,23,1157.63,17,0.046
2025-01-27,Organic,Sprockets,North,85,4791.17,47,0.0423
2025-12-12,Paid Search,Gadgets,West,106,17774.54,83,0.0381
2025-08-03,Paid Search,Gizmos,East,69,6496.49,49,0.0624
2025-06-03,Organic,Gadgets,West,140,9978.17,99,0.0526
2025-06-13,Social,Widgets,West,52,3017.34,29,
2025-05-09,Email,Sprockets,North,52,6729.79,39,0.0631
2025-07-24,Direct,Sprockets,South,32,2178.44,23,0.0497
2025-11-26,Email,Gizmos,South,66,6332.22,52,0.0707
2025-11-25,Paid Search,Gizmos,South,96,11103.58,76,0.0583
2025-11-04,Social,Gadgets,South,73,4876.79,42,0.0337
2025-05-15,Organic,Gizmos,East,121,11800.34,72,0.0363
2025-05-06,Email,Gizmos,West,54,4191.62,41,0.0638
2025-08-20,Paid Search,Gadgets,North,121,11730.71,84,0.0566
2025-02-26,Direct,Widgets,South,31,1837.65,24,0.0501
2025-06-27,Direct,Gizmos,West,42,2947.28,32,0.0512
2025-10-25,Direct,Gadgets,North,24,2320.53,13,0.0401
2025-07-01,Direct,Gizmos,East,21,2002.02,14,0.016
2025-11-17,Social,Sprockets,North,75,5029.6,56,0.0438
2025-05-10,Social,Widgets,West,32,2442.3,20,0.033
2025-04-19,Direct,Gadgets,West,22,2156.17,16,0.0397
2025-09-23,Organic,Widgets,South,170,17984.63,102,0.035
2025-01-14,Direct,Gadgets,North,34,2932.96,26,0.0478
2025-07-12,Social,Gizmos,North,48,5030.97,30,0.0421
2025-11-27,Direct,Gadgets,East,55,6221.23,43,0.0411
2025-07-14,Social,Widgets,East,56,8451.24,41,0.0442
2025-09-22,Organic,Widgets,North,140,,91,0.0397
2025-12-31,Direct,Gizmos,South,48,6440.53,26,0.0374
2025-10-13,Organic,Widgets,West,140,24405.72,109,0.0524
2025-03-29,Paid Search,Gizmos,East,55,5460.71,32,0.0666
2025-04-20,Direct,Gadgets,North,21,1162.46,15,0.0571
2025-02-27,Organic,Sprockets,East,117,15192.08,84,0.0469
2025-03-18,Organic,Gizmos,South,127,6064.49,79,0.0514
2025-07-24,Paid Search,Gizmos,North,96,5823.59,58,0.0598
2025-09-28,Direct,Sprockets,East,23,2153.13,17,0.0421
2025-02-23,Social,Widgets,South,33,2106.47,25,0.0396
2025-01-19,Email,Widgets,North,35,2139.52,21,0.0426
2025-03-20,Social,Gizmos,South,67,6380.31,41,0.0292
2025-09-30,Paid Search,Sprockets,West,93,6246.39,64,0.0737
2025-07-30,Email,Sprockets,West,41,5431.5,22,0.0578
2025-05-02,Paid Search,Sprockets,East,76,5215.66,55,0.0552
2025-09-25,Email,Gizmos,South,71,7951.5,54,0.0659
2025-02-05,Email,Gizmos,East,44,3601.49,30,0.0664
2025-09-11,Direct,Widgets,East,33,3537.46,18,0.0625
2025-05-03,Email,Sprockets,North,40,4150.84,25,0.0633
2025-08-04,Organic,Widgets,East,157,23594.95,88,0.0587
2025-03-13,Organic,Gadgets,South,127,11455.3,97,0.0449
2025-01-26,Direct,Gizmos,North,26,3081.94,16,0.0468
2025-09-06,Email,Sprockets,East,46,7109.01,25,0.0557
2025-02-13,Organic,Gizmos,East,98,10468.37,56,0.044
2025-03-28,Email,Sprockets,West,48,2620.24,30,0.0529
2025-03-19,Paid Search,Widgets,West,80,,57,0.0588
2025-08-03,Email,Sprockets,North,52,2948.88,39,0.0519
2025-11-01,Email,Widgets,North,38,6185.19,29,0.0509
2025-10-24,Direct,Widgets,West,33,2245.62,18,0.0661
2025-06-10,Direct,Gadgets,North,38,2809.4,28,0.0756
2025-03-11,Organic,Sprockets,East,129,16747.44,74,0.0404
2025-11-05,Social,Gadgets,West,84,14432.89,48,0.0365
2025-08-02,Email,Gadgets,West,31,2556.99,20,0.0703
2025-08-01,Social,Gadgets,North,71,6038.96,42,0.0398
2025-07-21,Email,Gadgets,South,55,6354.32,32,0.0626
2025-08-19,Organic,Gadgets,West,133,16532.34,91,0.0516
2025-04-28,Social,Widgets,East,67,,40,0.0484
2025-09-10,Organic,Gizmos,West,174,11446.81,127,0.0322
2025-02-16,Social,Gadgets,South,26,2057.86,16,0.0323
2025-07-01,Social,Widgets,East,68,10394.29,53,0.0395
2025-12-29,Email,Widgets,South,47,3638.22,37,0.0639
2025-12-28,Email,Sprockets,North,39,,23,0.0489
2025-04-26,Direct,Sprockets,West,31,2082.95,19,0.0593
2025-02-16,Direct,Gizmos,East,18,1780.76,12,0.045
2025-07-24,Paid Search,Gizmos,North,96,5823.59,58,0.0598
2025-02-20,Email,Gizmos,West,49,5638.68,36,0.0541
2025-03-16,Paid Search,Sprockets,West,61,6977.79,42,0.0602
2025-01-31,Email,Gizmos,South,31,2261.06,20,0.081
2025-04-19,Organic,Gadgets,North,85,8289.75,48,0.0414
2025-07-04,Paid Search,Gizmos,West,79,9832.07,61,0.0551
2025-10-16,Direct,Sprockets,South,61,5978.94,33,0.0523
2025-09-17,Social,Widgets,North,66,7274.48,52,0.0317
2025-06-22,Email,Gadgets,West,38,131751.5,25,0.059
2025-03-22,Direct,Sprockets,West,18,2217.5,10,0.0653
2025-09-29,Social,Gadgets,North,84,10639.72,48,0.0445
2025-09-28,Social,Sprockets,East,64,4149.71,36,0.0278
2025-08-06,Email,Sprockets,West,36,4670.46,25,0.0607
2025-11-16,Direct,Sprockets,North,27,4510.02,20,0.0464
2025-02-24,Direct,Gadgets,South,26,3049.35,17,0.0568
2025-02-04,Organic,Gadgets,East,83,9134.84,48,0.0333
2025-02-10,Organic,Gadgets,South,132,10804.48,99,0.0325
2025-10-23,Email,Gizmos,South,68,8726.06,43,0.0414
2025-02-20,Organic,Gizmos,South,123,8325.18,93,0.0487
2025-10-27,Social,Gadgets,South,88,7806.83,54,0.0387
2025-08-09,Email,Sprockets,North,44,6869.26,30,0.047
2025-04-02,Paid Search,Widgets,South,78,10178.2,43,0.0644
2025-06-21,Email,Gadgets,East,34,2328.47,20,0.0512
2025-05-25,Social,Gadgets,East,43,3865.31,28,0.0409
2025-09-09,Social,Gadgets,West,77,5167.03,55,0.0401
2025-04-16,Organic,Gizmos,North,145,20170.65,102,0.0391
2025-04-20,Paid Search,Widgets,East,55,6506.62,40,0.0547
2025-12-08,Email,Gizmos,South,65,10164.91,44,0.0379
2025-07-07,Direct,Gizmos,East,43,5797.99,31,0.0538
2025-09-04,Direct,Gizmos,East,37,3074.71,22,
2025-09-26,Organic,Widgets,South,160,18790.09,93,0.041
2025-02-14,Social,Gadgets,East,66,6803.42,41,0.0242
2025-07-06,Organic,Widgets,East,96,6553.54,64,0.0423
2025-12-31,Social,Gadgets,South,55,7830.05,32,0.0335
2025-03-27,Social,Sprockets,West,58,,36,0.0352
